project, amount, contractDate, _id, description, isDirect
{ "$oid" : "5265e00c40a44e0e89000031"},462192306,{ "$date" : "2011-12-14T00:00:00.000Z"},{ "$oid" : "5268100cf845eb000000001a"},"FORTALECIMENTO DO TURISMO;IMPLANTAÇÃO DE INFRA-ESTRUTURA URBANA E DE SANEAMENTO, DE SAUDE E EDUCAÇÃO, DE DESENVOLVIMENTO ECONOMICO E INTEGRAÇÃO, DE COMUNICAÇÃO E DESENVOLVIMENTO SOCIAL; E MODERNIZAÇÃO DO SISTEMA DE GESTAO ESTADUAL, NO AMBITO DOS COMPONENTES I A VII DO PIDSIII.",true
{ "$oid" : "525c5eaa72e56d000000000d"},450000000,{ "$date" : "2011-12-14T00:00:00.000Z"},{ "$oid" : "52681185f845eb000000001c"},"IMPLANTACAO DA UHE TELES PIRES, COM 1.820 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO TELES PIRES, NOS MUNICIPIOS DE PARANAITA E JACAREACANGA, NOS ESTADOS DE MATO GROSSO E PARA, RESPECTIVAMENTE, OBJETO DO LEILAO ANEEL Nº004/2010.",true
{ "$oid" : "5265d87740a44e0e89000016"},449277211,{ "$date" : "2009-11-30T00:00:00.000Z"},{ "$oid" : "526811a1f845eb000000001e"},"APOIO FINANCEIRO AO PLANO DE INVESTIMENTO 2009-2011 EM DISTRIBUIÇÃO E TRANSMISSÃO NA ÁREA DE CONCESSÃO DA CELPA.",true
{ "$oid" : "5265e60b40a44e0e89000039"},401000000,{ "$date" : "2011-10-05T00:00:00.000Z"},{ "$oid" : "526811ddf845eb0000000020"},"IMPLANTACAO DA LINHA DE TRANSMISSAO ORIXIMINA (PA) - ITACOATIARA (AM) - CARIRI (AM), EM 500 KV, COM APROXIMADAMENTE 586 KM DE EXTENSAO, E DAS SUBESTACOES ITACOATIARA E CARIRI.",true
{ "$oid" : "5265dc2d40a44e0e89000023"},400000000,{ "$date" : "2008-05-06T00:00:00.000Z"},{ "$oid" : "5268120cf845eb0000000022"},"CONSTRUÇÃO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICÍPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI.",true
{ "$oid" : "5265ded840a44e0e89000029"},400000000,{ "$date" : "2010-12-29T00:00:00.000Z"},{ "$oid" : "5268122cf845eb0000000024"},"ELABORAÇÃO DO PROJETO EXECUTIVO DA ARENA DA AMAZONIA E SUA CONSTRUÇÃO.",true
{ "$oid" : "5265efb840a44e0e89000060"},400000000,{ "$date" : "2011-12-19T00:00:00.000Z"},{ "$oid" : "5268125cf845eb0000000027"},"IMPLANTACAO DE DUAS USINAS TERMICAS A GAS, UTE MARANHAO IV E V, COM 675,2 MW DE POTENCIA INSTALADA, OBJETO DO LEILAO A-5 DE 2008; NO MUNICIPIO DE SANTO ANTONIO DOS LOPES - MA.",true
{ "$oid" : "5268131cf845eb000000002a"},392952860,{ "$date" : "2010-11-24T00:00:00.000Z"},{ "$oid" : "526813fcf845eb000000002c"},"VIABILIZAR A CONSTRUÇÃO DA ARENA MULTIUSO PANTANAL E A URBANIZAÇÃO DO SEU ENTORNO.",true
{ "$oid" : "5265bfe840a44e0e89000003"},373221157,{ "$date" : "2009-09-11T00:00:00.000Z"},{ "$oid" : "5268184bf845eb000000002e"},"IMPLANTAÇÃO DO PLANO DE INVESTIMENTOS 2009/2012 DO GRUPO ALL, REFERENTE AS EMPRESAS AMÉRICA LATINA LOGÍSTICA MALHA SUL S/A., FERRONORTE S/A. - FERROVIAS NORTE BRASIL, FERROBAN-FERROVIAS BANDEIRANTES S/A. E FERROVIA NOVOESTE S/A.",true
{ "$oid" : "525d9777d552254d2f000005"},303810692,{ "$date" : "2009-11-04T00:00:00.000Z"},{ "$oid" : "52681887f845eb0000000030"},"\"SUPLEMENTACAO DE RECUROS PARA O PROJETO DE IMPLANTACAO DE INFRAESTRUTURA\r\nPARA EXPLORACAO DE MINA DE BAUXITA, COM CAPACIDADE DE PRODUCAO DE 2,6 MILHOES\r\nT/ANO, EM JURUTI - PA.\"",true
{ "$oid" : "5265ecab40a44e0e89000052"},283410898,{ "$date" : "2011-03-04T00:00:00.000Z"},{ "$oid" : "526818c7f845eb0000000032"},"IMPLANTACAO DA SUBESTACAO COLETORA PORTO VELHO EM 500/230 KV, DE DUAS ESTACOES CONVERSORAS CA/CC/CA TIPO BACK-TO-BACK DE 400 MW CADA E DA LINHA DE TRANSMISSAO EM 230 KV, DOIS CIRCUITOS SIMPLES, COM EXTENSAO APROXIMADA DE 17,3 KM, COM ORIGEM NA SUBESTACAO COLETORA PORTO VELHO E TERMINO NA MESMA.",true
{ "$oid" : "5265e94040a44e0e8900003e"},280000000,{ "$date" : "2011-12-14T00:00:00.000Z"},{ "$oid" : "526818f3f845eb0000000034"},"IMPLANTACAO DE LINHA DE TRANSMISSAO, COM EXTENSAO DE 2.375 KM, DA SUBESTACAO COLETORA PORTO VELHO - RO A SUBESTACAO ARARAQUARA - SP (COMPLEXO DO RIO MADEIRA).",true
{ "$oid" : "52681aeef845eb0000000037"},250000000,{ "$date" : "2012-09-06T00:00:00.000Z"},{ "$oid" : "5268200cf845eb0000000039"},"VIABILIZAR A IMPLANTAÇÃO DA INFRAESTRUTURA TURÍSTICA CONSTANTE DO PROGRAMA  DE DESENVOLVIMENTO ESTRATÉGICO DA CADEIA PRODUTIVA DO TURISMO DO ESTADO DO MATO GROSSO.",true
{ "$oid" : "5268204ef845eb000000003c"},247458633,{ "$date" : "2011-09-13T00:00:00.000Z"},{ "$oid" : "52682083f845eb000000003e"},"IMPLANTACAO DE UMA UNIDADE INTEGRADA EM CUIABA-MT, COM CAPACIDADE PARA PRODUZIR 1,2 MILHAO DE T/ANO DE CIMENTO.",true
{ "$oid" : "5265ee3a40a44e0e89000058"},241822000,{ "$date" : "2009-12-16T00:00:00.000Z"},{ "$oid" : "526820a2f845eb0000000040"},"IMPLANTACAO DA UTE PORTO DO ITAQUI, LOCALIZADA NO DISTRITO INDUSTRIAL DE SAO LUIS, MUNICIPIO DE SAO LUIS-MA, COM CAPACIDADE INSTALADA DE GERACAO DE 360 MW, BEM COMO LINHA DE TRANSMISSAO EM 230 KV, CIRCUITO DUPLO, CONECTANDO-SE AO SISTEMA ELETRICO DA ELETRONORTE, NA SUBESTACAO SAO LUIS II.",false
{ "$oid" : "5265bf4bd984b94f87000006"},227235628,{ "$date" : "2009-11-04T00:00:00.000Z"},{ "$oid" : "526820d1f845eb0000000042"},"\"SUPLEMENTACAO DE RECURSOS PARA O PROJETO DE IMPLANTACAO DA UNID. 2 DA\r\nREFINARIA DO CONSORCIO ALUMAR, VISANDO AUMENTAR A PRODUCAO DE ALUMINA EM 2,1\r\nMILHOES DE T/ANO, ELEVANDO A CAPACIDADE DA REFINARIA PARA 3,5 MILHOES DE T/ANO,\r\nBEM COMO EXPANSAO DO TERMINAL PORTUARIO,AMBOS LOCALIZADOS EM SAO LUIZ-MA.\"",true
{ "$oid" : "525c5a9b72e56d0000000003"},1.08E10,{ "$date" : "2012-03-12T00:00:00.000Z"},{ "$oid" : "5265f64c40a44e0e89000084"},"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",false
{ "$oid" : "525c5a9b72e56d0000000003"},9.814686E9,{ "$date" : "2012-12-18T00:00:00.000Z"},{ "$oid" : "526604592f7d5a30e4000003"},"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",true
