data,valor,tipo,beneficiário,projeto
27/08/2008,73792000,indireto,SANTA GABRIELA ENERGETICA S/A,"Implantação da pequena central hidrelétrica Santa Gabriela entre os municípios de Itiquira (MT) e Sonora (MS), além da linha de transmissão."
18/01/2008,56677850,direto,SALTO JAURU ENERGETICA S/A - SAJESA,"Implantação da pequena central hidrelétrica de Salto nos municípios de Jauru (MT) e Indiavaí (MT), além de linha de transmissão."
01/09/2011,6000000,indireto,RONDON ENERGIA S.A.,"Implantação da hidrelétrica de Rondon entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão."
31/08/2011,6000000,direto,RONDON ENERGIA S.A.,"Implantação da hidrelétrica de Rondon entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão."
01/03/2012,138000000,direto,RIO BRANCO TRANSMISSORA DE ENERGIA S/A,Implantação da linha de transmissão Porto Velho (RO) - Abuna (RO) - Rio Branco (AC).
01/03/2012,138000000,direto,RIO BRANCO TRANSMISSORA DE ENERGIA S/A,Implantação da linha de transmissão Porto Velho (RO) - Abuna (RO) - Rio Branco (AC).
04/03/2011,283410898,direto,PORTO VELHO TRANSMISSORA DE ENERGIA S/A,Implantação da subestação e de estações conversoras em Porto Velho (RO)
01/09/2011,6500000,indireto,PARECIS ENERGIA S.A.,"Implantação da hidrelétrica de Parecis entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além da linha de transmissão."
31/08/2011,6500000,direto,PARECIS ENERGIA S.A.,"Implantação da hidrelétrica de Parecis entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além da linha de transmissão."
12/03/2012,10800000000,indireto,NORTE ENERGIA S/A,Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).
18/12/2012,9814686000,direto,NORTE ENERGIA S/A,Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).
31/03/2011,3685314000,direto,NORTE ENERGIA S/A,Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).
16/06/2011,1087812308,direto,NORTE ENERGIA S/A,Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).
02/10/2012,1050000000,direto,NORTE BRASIL TRANSMISSORA DE ENERGIA S/A,Implantação da linha de transmissão Porto Velho (RO) - Araraquara (SP).
14/06/2007,32211,indireto,MUNICÍPIO RIO BRANCO,"Investimento em infraesturtura urbana, além de outros, no município de Rio Branco (AC)."
13/05/2008,7857380,direto,MUNICÍPIO DE VÁRZEA GRANDE,Investimentos em saneamento e abastecimento de água no município de Várzea Grande (MT).
13/05/2008,7879,indireto,MUNICÍPIO DE VÁRZEA GRANDE,Investimentos em saneamento e abastecimento de água no município de Várzea Grande (MT).
14/01/2008,38240000,direto,MUNICÍPIO DE SINOP,Implantação de sistema de saneamento no município de Sinop (MT).
14/01/2008,35552,indireto,MUNICÍPIO DE SINOP,Implantação de sistema de saneamento no município de Sinop (MT).
20/09/2010,12350,indireto,MUNICÍPIO DE SÃO LUÍS,Investimentos no sistema de transportes no município de São Luís (MA).
20/09/2010,12350000,direto,MUNICÍPIO DE SÃO LUIS,Investimentos no sistema de transportes no município de São Luís (MA).
14/05/2008,63719,indireto,MUNICÍPIO DE RONDONÓPOLIS,Investimentos em saneamento e abastecimento de água no município de Rondonópolis (MT).
14/05/2008,63546048,direto,MUNICÍPIO DE RONDONÓPOLIS,Investimentos em saneamento e abastecimento de água no município de Rondonópolis (MT).
14/05/2008,4934400,direto,MUNICÍPIO DE RONDONÓPOLIS,"Investimentos em saneamento e drenagem, além de outros, no município de Rondonópolis (MT)."
09/12/2010,118065,indireto,MUNICÍPIO DE BELÉM,"Investimentos em saneamento, drenagem e urbanização no município de Belém (PA)."
09/12/2010,118065489,direto,MUNICÍPIO DE BELÉM,"Investimentos em saneamento, drenagem e urbanização no município de Belém (PA)."
21/06/2012,53322915,indireto,MINERACAO RIO DO NORTE SA,Aquisição de máquinas para mineração.
26/11/2008,496248,direto,MC LOG S/A LOGISTICA E TRANSPORTE,"Construção de balsas graneleiras, empurradores e balsa com guindaste para transporte de ferro gusa e minérios em Carajás (PA) e implantação de escola em Marabá (PA)."
05/10/2011,401000000,direto,MANAUS TRANSMISSORA DE ENERGIA S/A,Implantação da linha de transmissão Oriximiná (PA) - Itacoatiara (AM) - Cariri (AM) e das subestações Itacoatiara (AM) e Cariri (AM).
05/04/2011,120782400,direto,LIQUIGAS DISTRIBUIDORA S/A,"Construção de uma central de abastecimento em São Luís (MA), além de outros investimentos."
05/04/2011,9217600,direto,LIQUIGAS DISTRIBUIDORA S/A,"Construção de uma central de abastecimento em São Luís (MA), além de outros investimentos."
26/12/2012,152800000,direto,JAURU TRANSMISSORA DE ENERGIA S.A.,Implantação de linha de transmissão Jauru (MT) - Vilhena (RO)
23/12/2009,107000000,direto,JAURU TRANSMISSORA DE ENERGIA S.A.,Implantação de linha de transmissão Jauru (MT) - Vilhena (RO)
28/10/2011,193104959,indireto,ITAFOS MINERACAO LTDA,Implantação de unidade produtora de fertilizantes no município de Arraias (TO).
27/04/2012,30681000,direto,IPIRANGA PRODUTOS DE PETROLEO S/A,Plano de investimentos Ipiranga
14/12/2011,280000000,direto,INTERLIGACAO ELETRICA DO MADEIRA S/A,Implantação de linha de transmissão e subestações coletores entre Porto Velho (RO) e Araraquara (SP)
13/06/2011,34192000,direto,INTERCEMENT BRASIL S/A,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC."
08/02/2010,71544000,direto,IMMA - INDUST. METALURGICA E MECÂNICA DA AMAZONIA LTDA.,Instalação de fábrica de equipamentos hidromecânicos e de levantamento em Rondônia.
28/12/2012,470610000,direto,FERREIRA GOMES ENERGIA S/A,Construção da hidrelétrica Ferreira Gomes no município de Ferreira Gomes (AP).
02/07/2010,100984800,indireto,ESTADO DO PARÁ,Reestruturação do sistema viário de Belém (PA).
30/06/2010,37958795,direto,ESTADO DO PARÁ,"Investimentos em saneamento, além de outros, no Estado do Pará em municípios na área de influência da Vale."
03/09/2013,400000,indireto,ESTADO DO PARA,"Investimentos em urbanismo e transporte, além de outros, no Estado do Pará."
02/07/2010,100985,indireto,ESTADO DO PARA,Reestruturação do sistema viário de Belém (PA).
30/06/2010,47789,indireto,ESTADO DO PARA,"Investimentos em saneamento, além de outros, no Estado do Pará em municípios na área de influência da Vale."
29/12/2009,35700,indireto,ESTADO DO PARA,"Investimentos em saneamento e abastecimento de água, além de outros, no Parque de Ciência de Tecnologia Guama (PCT Guama) no Campus da Universidade Federal do Pará."
06/09/2012,250000000,direto,ESTADO DO MATO GROSSO,Infraestrutura urbana e turística do Mato Grosso
27/12/2012,1416670,indireto,ESTADO DO MATO GROSSO,Infraestrutura urbana e turística do Mato Grosso
24/11/2010,392953,indireto,ESTADO DO MATO GROSSO,Construção da Arena Pantanal e urbanização do entorno.
06/05/2008,400000000,direto,ESTADO DO AMAZONAS,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).
29/12/2010,400000000,direto,ESTADO DO AMAZONAS,Construção da Arena da Amazônia.
29/06/2010,187726000,direto,ESTADO DO AMAZONAS,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).
11/10/2012,164000000,direto,ESTADO DO AMAZONAS,Duplicação da Rodovia Estadual AM-070.
06/05/2008,401112,indireto,ESTADO DO AMAZONAS,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).
29/12/2010,388227,indireto,ESTADO DO AMAZONAS,Construção da Arena da Amazônia.
