id,uf,name,lat,lon,is_capital
2603405,PE,Calumbi,-7.935515,-38.148244,false
2603454,PE,Camaragibe,-8.0213832,-34.9810768,false
2603504,PE,Camocim de São Félix,-8.358649,-35.765332,false
2603603,PE,Camutanga,-7.405449,-35.26636,false
2603702,PE,Canhotinho,-8.876519,-36.197935,false
2603801,PE,Capoeiras,-8.734225,-36.630566,false
2603900,PE,Carnaíba,-7.793421,-37.794584,false
2603926,PE,Carnaubeira da Penha,-8.317994,-38.751155,false
2604007,PE,Carpina,-7.84566,-35.251397,false
2604106,PE,Caruaru,-8.2815,-35.9737,false
2604155,PE,Casinhas,-7.740839,-35.720635,false
2604205,PE,Catende,-8.675086,-35.702386,false
2604304,PE,Cedro,,,false
2604403,PE,Chã de Alegria,-8.006795,-35.204002,false
2604502,PE,Chã Grande,-8.238271,-35.457148,false
2604601,PE,Condado,,,false
2604700,PE,Correntes,-9.121174,-36.324435,false
2604809,PE,Cortês,-8.474434,-35.546789,false
2604908,PE,Cumaru,-8.008266,-35.695748,false
2605004,PE,Cupira,-8.624324,-35.951835,false
2605103,PE,Custódia,-8.08546,-37.64428,false
2605152,PE,Dormentes,-8.441163,-40.766168,false
2605202,PE,Escada,,,false
2605301,PE,Exu,-7.50364,-39.723789,false
2605400,PE,Feira Nova,,,false
2605459,PE,Fernando de Noronha,-3.8659759,-32.4433201,false
2605509,PE,Ferreiros,-7.446664,-35.237252,false
2605608,PE,Flores,,,false
2605707,PE,Floresta,,,false
2605806,PE,Frei Miguelinho,-7.939179,-35.911283,false
2605905,PE,Gameleira,,,false
2606002,PE,Garanhuns,-8.8822,-36.4969,false
2606101,PE,Glória do Goitá,-8.005675,-35.29044,false
2606200,PE,Goiana,-7.560603,-34.99591,false
2606309,PE,Granito,-7.704972,-39.612913,false
2606408,PE,Gravatá,-8.2026828,-35.5679858,false
2606507,PE,Iati,-9.045586,-36.849763,false
2606606,PE,Ibimirim,-8.54026,-37.703214,false
2606705,PE,Ibirajuba,-8.576331,-36.181151,false
2606804,PE,Igarassu,-7.82881,-34.901306,false
2606903,PE,Iguaraci,-7.832221,-37.508199,false
2607000,PE,Inajá,,,false
2607109,PE,Ingazeira,-7.669089,-37.457575,false
2607208,PE,Ipojuca,,,false
2607307,PE,Ipubi,-7.645048,-40.147571,false
2607406,PE,Itacuruba,,,false
2607505,PE,Itaíba,,,false
2607604,PE,Ilha de Itamaracá,-7.747664,-34.830319,false
2607653,PE,Itambé,,,false
2607703,PE,Itapetim,-7.371777,-37.186266,false
2607752,PE,Itapissuma,-7.767983,-34.897136,false
2607802,PE,Itaquitinga,-7.663729,-35.100231,false
2607901,PE,Jaboatão dos Guararapes,,,false
2607950,PE,Jaqueira,-8.726183,-35.794232,false
2608008,PE,Jataúba,-7.976684,-36.494292,false
2608057,PE,Jatobá,,,false
2608107,PE,João Alfredo,-7.865649,-35.578715,false
2608206,PE,Joaquim Nabuco,-8.62281,-35.528814,false
2608255,PE,Jucati,-8.701945,-36.487137,false
2608305,PE,Jupi,-8.709041,-36.412644,false
2608404,PE,Jurema,,,false
2608453,PE,Lagoa do Carro,-7.843834,-35.310783,false
2608503,PE,LAGOA DE ITAENGA,,,false
2608602,PE,Lagoa do Ouro,-9.125668,-36.458373,false
2608701,PE,Lagoa dos Gatos,-8.660205,-35.903976,false
